번호,유형,직무,초기 복합 사건,주입1,선택1·재료,주입2,선택2·재료,첫 전개 도달 상태,첫 판정,보완 후 재전개,최종 판정,검토 방식
026,위임형,공인중개사 (주거),임대인이 대리인에게 계약을 맡겼는데 선순위 권리와 임차보증금 설명이 다르고 잔금 전 새 담보가 설정됨,잔금 직전 새 권리와 점유 변경 신호 도착,M18·M31·M35: 기존 확인·잔금 선행조건을 재검토,매도자가 즉시 송금을 요구하지만 현장 인도 확인 불가,M33·M39·M40: 대체 확인·일정 조정·미실행 효과를 비교,"계약·잔금 계획 가능, 권리·인도 확인 없이 거래 완료 불가",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
027,위임형,공인중개사 (상가·빌딩),매도자가 만실 수익률을 제시했지만 무상임대 기간·체납·만기집중이 있고 임차인이 시설 투자 보상을 요구함,임대료 장부 중 일부가 실제 미수이며 수선비도 누락,M52·M53: 순수익·보증금·현금수지를 재작성,임차인 확인과 현장 수선 견적이 서로 다름,M18·M38·M39: 차이 검증·임대조건·인도 협의 연결,"가격·조건 대안 가능, 실사·당사자 합의는 미정",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
028,위임형,공인중개사 (토지·개발),저렴한 토지가 있으나 진입도로는 타인 소유이고 경계·용도·농지전용 가능성에 관해 매도인 설명이 엇갈림,진입로 이용 조건과 실제 경계가 광고 설명과 다름,M07·M18·M34: 개발 가능 가정을 취소하고 조건부 매매안 재작성,경계 측량·관청 확인이 매도자의 요구 일정에 맞지 않음,M35·M38·M39: 확인 선행조건·계약 일정·철회 대안 제시,"개발·거래 판단 근거 준비, 현장·기관 확인 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
029,위임형,경매사,낮은 감정가의 경매 물건에 선순위 임차인 주장과 점유 불일치가 있고 대출은 낙찰 후 재심사 예정임,점유자 주장과 매각 자료가 다르고 수리비 증가,M25·M53: 권리·점유·총취득비를 재구성,의뢰인은 경쟁 입찰가 이상 지불과 목표 수익률 유지를 동시에 고수,M33·M34: 고정 수입·비용에서 허용 상한과 요구 입찰가 충돌 검출,"해당 가격에서 원래 수익 목표 불가, 입찰가·목표·참여 여부 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
030,위임형,감정평가사,수용 예정 토지의 비교거래는 적고 용도·오염·특수권리 때문에 거래 당사자들이 서로 다른 가격을 주장함,비교 거래 하나가 특수관계 거래로 밝혀짐,M18·M53: 비교 표본·보정·가치 범위를 재계산,현장 용도와 공부 차이에 대한 확인 미완료,M21·M39: 평가 전제·대안 결과·필요 확인 분리,"평가모형·초안 가능, 현장·자격 수행 확정 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
031,위임형,건축사 (주택·소규모 건축),협소 대지에서 주차·채광·계단·예산을 맞췄는데 실측 경계와 기존 구조가 도면과 다름,실측에서 기존 벽체·설비 위치가 도면과 다름,M07·M25·M35: 공간·설비·법규 요구와 설계 객체 갱신,예산·일정 안에 대체안이 있고 모의 간섭검사 통과,M09·M42: 평면·도면·물량을 동기화하고 수정 범위 검수,제공된 실측·규칙 아래 설계 인계 경로 있음; 허가·시공은 별도,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
032,위임형,건축사 (대형·공공 건축),병원 증축 설계에서 피난동선·덕트·보·장비 반입공간이 충돌하고 발주처가 운영 중 공사를 요구함,구조·설비·피난 변경이 같은 공간을 요구,M04·M25·M53: 분야별 제약을 공동 모델에서 대조,"건물 외형·정원·예산·기간은 모두 고정, 모의 해석에서 가능한 배치 없음",M34·M35·M43: 각자의 부분 합격 대신 통합 불가능성을 보고,설계 요구 중 최소 하나의 조정 필요,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
033,위임형,기술사 (구조),공장에 무거운 설비를 올리려는데 기존 철근·재료 강도와 도면이 불확실하고 바닥 진동 민원도 있음,재료시험이 가정 강도보다 낮고 하중 정보도 추가됨,M18·M53·M54: 기존 안전성 결과 무효화·보강 대안 해석,핵심 접합부를 조사할 수 없어 모형 전제가 남음,M39·M42: 조사 범위·임시 제한·미검증 전제를 연결,"해석·보강 후보 가능, 실측·독립 검토 없이는 안전성 확정 불가",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
034,위임형,기술사 (기계·전기 설비),데이터센터 냉각을 절감하려다 특정 랙 과열과 예비 전원 전환 시 냉각 중단이 발견됨,센서·계측을 해야 장애 판단이 가능하나 해당 기능은 장애 확인 때만 활성화됨,M35·M50: 조건 판정에 필요한 관측 기능의 선행 활성화가 명시돼 있지 않아 조립 해석이 갈림,운전팀은 고장 확정 전 계측 작업을 만들지 않음,M07·M37·M54: 실행 기능과 판정용 관측의 의존을 분리해야 순환 대기 해소,조건 판정 자체의 의존을 먼저 조립한다는 명시 보완 필요,조건 명세 강화 필요,진단용 계측을 먼저 요청할 수 있도록 분리. 자체 권한·현장 일정 확인 뒤 취득하며 고장 확인과 수리 실행 권한은 별개. 현장 수행·계측 결과 대기.,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
035,위임형,보험설계사 (생명·장기),고객이 보험료를 줄이려 기존 계약을 해지하려 하지만 새 계약에는 과거 질환 관련 조건과 보장 공백 가능성이 있음,기존 계약의 보장·해지 비용이 새 제안보다 유리한 부분 확인,M21·M53: 유지·추가·전환안을 비용·보장·기간별 재비교,고객이 모든 보장 확대와 보험료 인하를 요구하고 해당 상품 조합 없음,M34·M38: 설명·이해 확인 후 보장·가격·위험 목표 조정 요청,현재 상품·예산에서 동시 목표 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
036,위임형,보험설계사 (손해·자동차),배달 차량이 일반 용도로 가입돼 있고 사업장 특약도 실제 운영과 달라 사고 접수에서 보장 다툼이 생김,실제 운행·사업장 용도가 청약 정보와 다름,M17·M21: 위험 사실·담보·고지 필요를 다시 구성,보험사가 추가 실사·조건 변경 검토 요청,M35·M38·M39: 고객 설명·보완·갱신 공백 대안 연결,"설계·청약 준비 가능, 인수 결정과 실사 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
037,위임형,보험계리사,장기보험의 해지율·손해율이 예측과 달라지고 재보험 변경·금리 변화까지 겹쳐 수익성과 준비금이 흔들림,경험데이터에서 해지 건 중복과 관측기간 혼합 발견,M52·M53: 노출·발생률·가정의 기준을 재작성,독립 계산이 새 가정의 준비금·민감도 결과를 일치하게 반환,M43·M54: 이전 차이 원인·스트레스·허용 범위 점검,주어진 가정과 데이터에서 계리 산출·검증 패키지 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
038,위임형,손해사정사 (재물·배상),공장 화재 후 소실 재고와 기존 불량이 섞이고 휴업기간 중 주문 취소가 화재 때문인지 경기 악화 때문인지 다툼,누수 원인 설명과 손상 시점 기록이 어긋남,M18·M53: 인과·손해액·보상 해석을 별도 유지,현장 접근이 제한되고 수리 후 원상 관측 불가,M07·M39·M47: 남은 원본·대체 근거·미확인 범위 보존,"산정 대안 가능, 실제 원인·최종 손해 확정은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
039,위임형,손해사정사 (신체·질병),사고 후 장해 청구에서 기존 질환과 새 손상이 섞이고 진단서마다 기능 제한 평가가 다름,추가 진료기록이 기존 장해·발병 시점 설명을 바꿈,M18·M25: 의료 사실·의견·약관 판단을 다시 연결,의료기관 간 소견이 갈리고 추가 평가 필요,M21·M39·M43: 다른 전제·근거를 비교하고 의학 판단 지원 계수,"보험금 검토·쟁점표 가능, 의학적 결론·지급 결정 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
040,위임형,투자자문사,고객 회사 주식에 자산이 집중돼 있는데 주택 잔금이 예정돼 있고 시장 하락 시 거래가 어려움,고객의 현금 필요가 앞당겨지고 포트폴리오 상관도 상승,M33·M53: 유동성·집중·하락 시나리오 재계산,고객은 손실 가능성 없이 기존 목표 수익률을 보장하라고 요구,M34·M38: 보장할 수 없는 성과와 가능한 위험 조정안을 구분,"원래 보장 요구 충족 불가, 목표·위험·기간 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
041,위임형,재무설계사,맞벌이 가정이 조기은퇴를 원하지만 부모 돌봄·자녀 학비·변동금리 대출이 겹치고 부부 목표가 다름,부모 돌봄비 증가와 한 배우자의 소득 중단을 가정,M25·M53: 생애현금·보장·부채 계획 재계산,"두 사람 모두 은퇴일·소비·유산 목표 변경을 거부, 자산 부족",M34·M38: 우선순위와 제약 위반 시점을 구체화,현재 자산에서 모든 목표 동시 달성 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
