ID,사건번호,선고일,사건명,필수분기,재구성한답,재료,미해결조건,변형입력,기대반응,자율실행,원본SHA256,원본경로
C11,2006다17539,20130712,고엽제: 국제관할·독성·개별 인과관계·시효,역학적 상관관계만으로 모든 환자의 손해배상 인과관계를 인정할 수 있는가?,특이성 질환과 비특이성 질환을 달리 검토해야 한다. 비특이성 질환의 집단 상관관계만으로 개인별 인과관계가 바로 증명되지는 않는다. 시효와 중단 조치도 사람별로 판단한다.,M18 M21 M25 M34 M36 M43 M52 M53,판결문에 인용된 별지와 개별 의무기록·노출기록까지 갖춰야 사람별 완결 판단이 가능하다. 통계 계산 지원만으로 법적 인과관계를 해결했다고 할 수 없다.,집단 위험비는 유지하되 한 환자의 노출·발병 또는 제소 시점만 정정한다.,해당 환자의 인과관계·시효와 파생 계산을 다시 보고 나머지 사람의 유효 결과는 보존한다.,미실시,5b764b09282589d78738d995f27572d80164d6083a9610736bcda0935861f8ed,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/192119_손해배상(기)[배트남전 참전군인 고엽제 피해 손해배상청구 사건].json
C12,2012다13637,20130926,KIKO: 계약 효력·적합성·설명의무·환율손실,거액 손실이 발생했으므로 계약 전체가 불공정·무효인가?,사후 손실만으로 계약 당시 불공정을 인정할 수 없다. 계약 무효 주장과 적합성·설명의무 위반에 따른 책임은 분리해야 한다. 실제 주문도 특정 계약의 예비적 청구 부분만 파기했다.,M17 M18 M25 M34 M36 M43 M53 M54,정량 모형·계약조건·당시 예상 외화유입액이 필요하다. 판례 정리만으로 실제 고객 손해액·과실비율까지 산출할 수 없다.,계약은 같지만 고객의 다른 환헤지 계약과 예상 외화유입액을 변경한다.,상품 구조의 유효성 결론과 별개로 적합성·초과헤지·손해 계산을 재검토한다.,미실시,67aa7a06d11c22e9cd2695e916346b43810e60a24588173f8fbba8a2fd604496,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/192259_부당이득금반환등.json
C13,2009다52649,20110902,PD수첩: 과학적 불확실성·사실과 의견·정정 범위,방송 전체를 참·거짓 한 값으로 판정할 수 있는가?,유전자형 보유 비율을 발병 확률과 동일시한 명제와 정부 협상에 대한 의견은 다르다. 의견 부분에는 정정보도청구의 전제가 달라지고 후속보도가 있었다는 사실만으로 정정 이익이 사라지지 않는다.,M07 M09 M18 M25 M34 M42 M52 M53,텍스트 분류만으로 방송의 전체 인상을 평가할 수 없다. 원방송·자막·번역·후속보도와 명제별 구제 관계가 필요하다.,동일 문장의 앞뒤 영상·자막 맥락 또는 후속보도 내용을 추가한다.,원문 구간을 다시 읽어 표현의 의미와 정정의 충분성을 재판단한다.,미실시,0628fb822aea2a8d655bda821d01245c4ecf29e936303b2e20c6d53ef0b192f2,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/166302_정정·반론(PD수첩 사건).json
C14,2013다61381,20181030,강제동원: 조약·환송판결·다수와 별개의견,상고기각에 동의한 법관들의 청구권협정 해석도 모두 같은가?,"다수의견은 이 사건 강제동원 위자료청구권이 협정 적용대상에 포함되지 않는다고 봤다. 환송판결 기속력을 든 의견, 포함되지만 개인청구권 행사 가능하다는 의견, 행사가 제한된다는 반대의견을 구분해야 한다.",M12 M14 M18 M21 M25 M34 M43 M47,의견 간 충돌을 마지막 값이나 다수 문장 수로 해소하면 안 된다. 쟁점별 다수·별개·반대의견 관계를 채운 판례 카드가 필요하다.,검색 결과에 별개의견 한 문단만 제공한다.,그 의견을 판결 전체의 다수 법리로 내보내지 않고 의견 표지와 전체 판결을 확보한다.,미실시,4011d4926c86df1bd26ebc67574b6cd90c4cf1fe49400f40c375ee170a1e4b18,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/204201_손해배상(기)(일제 강제동원 피해자의 일본기업을 상대로 한 손해배상청구 사건).json
C15,2012다89399,20131218,통상임금: 2013 판결과 2024 변경의 적용 범위,2013년 판례의 고정성 요건을 현재 모든 임금 사건에 그대로 적용할 수 있는가?,2013년 사건은 당시 통상임금과 신의칙 판단을 재구성해야 한다. 2024년 두 전원합의체 판결은 고정성 요건을 폐기하면서 선고일 이후 적용과 해당 사건·병행사건 예외를 정했다. 법리 적용은 최신 날짜 하나로 고를 수 없다.,M12 M14 M18 M20 M21 M25 M34 M42 M53,이중 시점과 경과규정의 자리는 있지만 판례변경의 적용 예외를 실제 분기할 직무 내용이 필요하다. 후속 판례는 같은 로컬 저장소에도 있어 자료 부족보다 연결·선택이 핵심이다.,같은 2024.12.18 근로에 대해 변경 법리가 재판의 전제인 계속 중 사건 여부만 바꾼다.,날짜가 같아도 병행사건 예외 여부에 따라 적용 법리를 달리 판단한다.,미실시,40f3c7178667f3b5c566b7dd6116df544e0f977b5cb4b519cd5e6d67557b25ed,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/209199_퇴직금.json
C16,2004다37775,20060420,교회 분열: 단체 동일성·의결권·총유재산,교인 과반이 나가면 재산도 인원 비율로 나눠 가지는가?,교회 분열에 따른 재산의 분할 귀속을 인정하지 않았다. 개별 탈퇴와 의결권자 3분의 2 이상 찬성에 의한 교단 변경을 구분하여 종전 교회 동일성과 총유재산 귀속을 판단한다.,M17 M18 M21 M25 M31 M34 M43 M53,숫자 계산 전에 누가 의결권자인지와 어떤 단체가 같은 법적 주체인지 정해야 한다. 재산 분할을 일반 공동소유 계산으로 치환하면 실패한다.,출석자 수는 유지하되 의결권 있는 전체 교인 수를 수정한다.,출석자 기준 3분의 2를 사용하지 않고 유효한 전체 의결권자 분모로 다시 계산한다.,미실시,116a6ef3a658ee9fb8148add85c9d6e1ab37446a93489be03ab05c23c6d02174,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/126700_소유권말소등기.json
C17,"2005다22701, 22718",20090423,금융기관 합병: 위임 사슬·의결권·합병비율,주주총회에서 받은 위임장 수만 세면 유효한 결의를 확인할 수 있는가?,"대리권 입증과 정관상 대리인 제한의 예외, 재위임, 통지시한 및 예탁구조를 각각 봐야 한다. 합병비율의 현저한 불공정 여부도 별도 판단 대상이다.",M12 M17 M18 M25 M31 M34 M43 M52 M53,위임·명의 재료는 있지만 예탁증서와 법인 대리 예외를 포함한 법률 내용이 채워져야 한다. 문서 인증은 유효 대리권의 충분조건이 아니다.,외국 주주에서 대리인으로 이어지는 사슬에 재위임 문서와 정관상 제한을 추가한다.,재위임이라는 이유로 일괄 차단하거나 서명만 보고 통과시키지 않고 적용 예외·범위를 판단한다.,미실시,6e5a84360ca50acd412b196368c9fefe6b5cc27a73d959532674ebd3ce9dc26a,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/133921_합병철회·주주총회결의취소.json
C18,"2014스44, 45",20191121,재혼가정 상속: 간호·특별수익·기여분,오래 간호한 배우자에게 기여분을 자동 가산할 수 있는가?,장기 동거·간호는 고려요소지만 자동 인정 사유는 아니다. 비용 부담·재산 규모·특별수익·다른 상속인·건강 상태 등을 종합해야 하며 이 사건 기여분 배척 판단은 유지되었다.,M17 M18 M21 M25 M34 M43 M52 M53,정성 판단에 근거 없이 임의 기여율을 넣는 계산기는 완성품이 아니다. 상속재산별 평가와 특별수익 자료가 필요하다.,간호 기간은 같지만 간호비 부담자와 배우자의 특별수익을 변경한다.,기간만으로 기여율을 고정하지 않고 실질적 공평에 관한 판단과 계산을 함께 갱신한다.,미실시,a9cfae1033edbd5341de3e11bd5f266939c00010a8d738219ae2c2282c820025,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/210541_상속재산분할·상속재산분할(피상속인의 전처가 낳은 자녀들인 청구인들이 피상속인의 후처와 후처가 낳은 자녀들인 상대방들을 상대로 본심판으로 상속재산.json
C19,2016므2510,20191023,인공수정 친자: 혈연·동의·친생추정·소송형태,DNA 불일치가 확인되면 친생자관계부존재확인으로 곧바로 정리되는가?,혼인 중 임신한 자녀의 친생추정은 혈연 불일치만으로 사라지지 않는다. 제3자 정자 인공수정에 대한 남편의 동의·공시와 용인을 살피고 친생부인과 관계부존재확인을 구분해야 한다.,M17 M18 M21 M25 M34 M35 M36 M43,원천값의 진실성과 법적 지위가 다르다. 가족법의 소송형태·기간·동의 효과를 채워야 하며 검사값 하나로 결론내릴 수 없다.,DNA 결과는 유지하되 인공수정 동의·출생 후 용인에 관한 자료를 바꾼다.,자녀별 법적 추정·절차를 재검토하고 비혈연을 곧 법적 친자 부존재로 치환하지 않는다.,미실시,2b1ac671354e6d5ae4bcc7987c9240b543df126c08ea3b82aa395dc49f77df45,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/210411_친생자관계부존재확인(아내가 혼인 중 제3자의 정자를 제공받아 인공수정으로 임신하여 출산한 자녀와 남편과 혈연관계가 없는 자녀에 대해서 친생추정이.json
C20,2013므568,20150915,유책배우자 이혼: 원칙·예외·상대방 보호,혼인이 파탄 났거나 유책배우자라는 한 조건만으로 청구를 결정할 수 있는가?,유책배우자 청구는 원칙적으로 허용되지 않지만 예외가 있다. 상대방·자녀 보호와 책임의 정도·시간 경과 등 구체적 사정을 봐야 하며 이 사건 상고는 기각되었다.,M17 M18 M21 M25 M34 M38 M43,규칙 충돌 해결 자리는 충분하지만 법적 평가와 관계·피해에 관한 미확인 사실을 임의 점수로 합산할 수 없다. 반대 당사자의 입장을 사용자 주장으로 대체하면 실패한다.,상대방의 이혼 의사·자녀 보호 조치에 관한 새로운 확인 자료가 들어온다.,처음의 유책 판단은 보존하되 예외 적용 가능성을 새 사실에 맞춰 다시 평가한다.,미실시,97301dc6e1c7e6e52cee98fce68ffb364013a6c7879f1433fc28c3e79d2aa1d1,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/209251_이혼[유책배우자 이혼청구 사건].json
C21,2011두21447,20170420,공익법인 주식출연: 특수관계와 기준시점,출연 전 최대주주였다는 사실만으로 증여세 과세요건을 충족하는가?,이 판결은 최대주주 요건을 주식 출연 후 시점으로 판단했다. 재산을 출연하여 비영리법인을 설립한 자의 의미도 형식적 출연 외에 설립 의사결정과 실질 영향력을 살펴야 한다.,M12 M18 M21 M25 M34 M43 M52 M53,시점 재료가 있어도 기준시점을 출연 전으로 잘못 선택하면 계산 전체가 맞아도 결론은 틀린다. 법적 관계의 순환 참조와 포함 범위를 구체화해야 한다.,출연 전후 지분표의 값은 같게 제공하되 조회 기준을 출연 전으로 잘못 지정한다.,수치 검산 전에 법적 기준시점 오류를 잡고 출연 후 표로 다시 판단한다.,미실시,798a2257155e8e294ad3d317e1a72c0e6f504720ff18aee3bb1c0c104cd0ba16,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/184731_증여세부과처분취소.json
C22,2018두128,20181213,해외 페이퍼컴퍼니: 실질귀속·조약·제척기간·가산세,명의위장과 조세회피 정황이 있으면 모든 연도에 장기 부과기간을 적용할 수 있는가?,명의위장만으로 사기 기타 부정한 행위가 되는 것은 아니다. 조약상 거주자와 소득원천을 연도별로 판단하고 제척기간과 가산세 고지 하자를 각각 구분한다. 실제 주문은 연도·본세·가산세에 따라 나뉜다.,M12 M18 M21 M25 M34 M36 M43 M52 M53,"국제거래 관계와 연도별 법적 상태, 고지서 원본이 필요하다. 조세회피라는 하나의 꼬리표를 장기 제척기간과 유죄의 공통 근거로 쓰면 실패한다.",과세연도 이후의 법인 해산·주식이전을 그 이전 소득 은닉의 근거로 넣는다.,행위와 과세연도의 순서를 검사하고 후발 사실만으로 당시 부정행위를 단정하지 않는다.,미실시,ab4cc4f23e5eed03590703f804692d379aa4fd3bc907114997268de46bbe7bc9,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/204237_종합소득세부과처분취소.json
C23,2016후2522,20200122,특허 정정: 시간효·재심사유·진보성의 독립 판단,정정심결이 재심사유가 아니라면 원심판결은 그대로 유지되는가?,정정심결 확정만으로 재심사유를 인정하지 않았다. 그러나 별도의 진보성 판단에 법리오해·심리미진이 있어 원심을 파기환송했다. 절차 쟁점 패소가 전체 사건 패소를 뜻하지 않는다.,M14 M18 M21 M25 M34 M35 M36 M43,현재 큰 순서도는 일반 재검토는 있지만 법적 확정과 소급효를 구별하는 내용은 직무가 채워야 한다. 단순 최신 판본 교체나 단일 승패 분기는 실패한다.,정정심결 시점을 사실심 변론종결 뒤로 옮기고 진보성 자료는 유지한다.,정정 소급효의 절차상 범위를 먼저 판단하고 독립된 진보성 쟁점 검토를 계속한다.,미실시,3f5e101228c528386e7f2d25564da4d6b7c08c6b89f76baa5ecc306ce078e71a,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/226011_등록무효(특)[특허무효심판에 대한 심결취소소송의 사실심 변론종결 이후에 정정심결이 확정된 것이 재심사유에 해당하는지 여부].json
C24,2015후1454,20180621,AMERICAN UNIVERSITY: 표장 전체·국내 식별력·준거법,지리명+대학교라는 문자열만으로 등록 여부를 자동 판정할 수 있는가?,결합만으로 식별력이 언제나 생기는 것은 아니며 전체 표장과 지정서비스업·수요자 인식을 봐야 한다. 등록국 법이 적용된다. 이 사건은 새로운 식별력을 인정한 판단이 유지되었다.,M07 M14 M17 M18 M21 M34 M43 M55,로컬 JSON의 해당 표장 인용이 빈 따옴표로 남아 있다. 판결 이유는 재구성할 수 있지만 원본 표장의 외형·구성을 실제 비교한 것으로 인정할 수 없다. 원문 이미지나 출원 자료 재확보가 필요하다.,문자 명칭만 남기고 실제 출원 표장 이미지와 지정서비스업을 제거한다.,유사 사건의 표장을 추정해 채우지 말고 입력 손실과 필요한 재취득 자료를 명시한다.,미실시,8a08ae8867d4538180fd0b33486b69cb38781430c75d3e3388c408c0093d9b48,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/198440_거절결정(상)(현저한 지리적 명칭과 대학교를 의미하는 단어가 결합된 표장 사건).json
