번호,유형,분야,직무,실제 업무,복합 에피소드,필요한 자료,전문가 판단·작업,산출물·실행,실패 조건,재료별 보완,업무 특성 근거 URL,검토 수준
011,위임형,법률 (등기·행정),행정사 (출입국·비자),체류기간 연장; 취업·가족 관련 체류자격 변경,취업 외국인이 고용주를 옮기는데 직무·학력 증빙과 새 고용계약이 맞지 않고 가족의 체류 일정도 다름,여권·등록정보·체류 이력·고용계약·학력경력·가족관계·예약자료,사람별 현재 자격·허용 활동·필요 변경을 확인 → 직무 실질과 증빙의 일치 여부 점검 → 자격별 제출·보완·기한을 나누어 관리,"사유서, 증빙목록, 신청자료, 사람별 접수·보완 일정",계약서 직함만 보고 실제 활동이 자격 범위에 맞는지 확인하지 않으면 실패,"M12·M13 자격별 최신 요건, M25 가족·고용 관계, M37 기한, M39 신원·대면 절차 경계 필요",https://www.hikorea.go.kr/info/InfoDatail.pt?CAT_SEQ=2123&PARENT_ID=1228&locale=kr,문서상 책임 배치·보완 분석 / 실제 실행 미검증
012,위임형,법률 (등기·행정),공증인,금전채무 공정증서 촉탁; 사서증서 인증,회사 대표를 대신한 대리인이 채무 문서 공증을 요청하지만 위임 내용이 문서 금액·조건과 다르고 상대는 즉시 발급을 요구함,촉탁문서·신분·대리권·법인자료·당사자 의사확인 자료,문서 유형과 촉탁 범위 확인 → 신원·대리권·내용·의사 표시를 구별해 확인 → 흠결 보완 후 자격자가 수행할 절차 연결,"공증용 문안·확인목록·촉탁자료, 실제 발급·인증 기록",AI가 작성한 문서에 서명란을 넣었다고 공증 효력이 생긴 것으로 처리하면 실패,"M31 신원·대리권, M27·M39 공증 행위, M10·M40 발급·원본 인수 증거 필요",https://apps.apple.com/us/app/법무부-편리한-공증/id590589298,문서상 책임 배치·보완 분석 / 실제 실행 미검증
013,위임형,지식재산,변리사 (특허),발명 인터뷰·선행기술 조사; 특허 명세서·보정,"공개 예정인 제품의 차별점이 심사관이 찾은 선행기술과 겹치고, 넓은 청구항을 지키려다 명세서에 없는 사항을 추가할 위험이 생김",발명설명·도면·실험자료·공개일·선행문헌·거절이유 통지,기술적 차이와 명세서 근거 위치 연결 → 청구항별 거절 이유 대응 → 권리범위·사업 보호·보정 허용성을 비교,"명세서·청구항·도면, 선행기술 대비표, 의견서·보정서 초안",등록만 위해 핵심 사업범위를 잃거나 뒷받침 없는 한정을 만들면 실패,"M07 도면·기술 구조, M19 선행기술, M25 청구항 근거, M34·M35 보정 전략 필요",https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200111,문서상 책임 배치·보완 분석 / 실제 실행 미검증
014,위임형,지식재산,변리사 (상표·디자인),브랜드 상표 출원; 제품 외관 디자인 출원,신제품 출시 직전 유사 이름의 선등록과 기존 디자인 공개가 발견돼 이름·상품범위·출시 일정을 같이 결정해야 함,표장·지정상품·사용자료·검색결과·제품 도면·공개 이력,표장과 상품의 실제 사용범위를 대조 → 거절·분쟁 위험과 대체 표장·범위 비교 → 출원·의견 대응과 출시팀 변경을 연결,"출원자료, 유사표장·디자인 대비표, 의견서 초안, 브랜드 변경안",이미지 유사도만으로 권리 충돌을 확정하거나 지정상품을 빠뜨리면 실패,"M12·M14 권리 판단, M07 도형·표장 구조, M25 출시자산 연결, M35 출원 경로 필요",https://www.kipo.go.kr/kcall/,문서상 책임 배치·보완 분석 / 실제 실행 미검증
015,위임형,지식재산,변리사 (심판·분쟁),특허 무효·권리범위 심판; 침해 분쟁 기술분석,상대 제품의 비공개 공정 때문에 구성요소 충족이 불명확한데 소송·무효심판·라이선스 협상이 동시에 진행됨,등록명세서·심사경과·선행기술·제품 분석·상대 주장·계약,청구항 해석과 제품 사실을 분리 → 확인 불가 요소의 증거 취득 경로 설계 → 무효·비침해·합의 대안의 상호 영향을 심사,"구성요소 대비표, 기술·선행문헌 분석, 심판서면 초안, 협상 쟁점표",제품 추정만으로 모든 요소를 충족·미충족이라고 쓰거나 절차별 해석을 무심코 바꾸면 실패,"M18·M25 구성요소-증거 관계, M04·M43 소송팀 협의, M38 합의 전제 필요",https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200111 | https://scourt.go.kr/judiciary/duty/civil/,문서상 책임 배치·보완 분석 / 실제 실행 미검증
016,위임형,세무,세무사 (신고·기장),부가가치세·소득세·법인세 신고; 월 기장·세무조정,온라인몰의 주문액·PG 정산액·환불액이 다르고 해외 매출과 개인 사용 경비가 섞여 신고 초안이 틀어짐,주문·정산·환불·세금계산서·사업계좌·경비증빙·전기신고,거래일·공급·정산 차이를 대사 → 과세와 비용 인정의 근거 분리 → 조정·신고·납부 결과 확인,"장부·세무조정 계산표, 신고서·부속명세, 납부·접수 확인",정산액을 그대로 매출로 쓰거나 환불을 이중 차감하면 실패,"M52 거래·정산 대사, M53 세액계산, M12 과세 요건, M10·M42 신고 결과 연결 필요",https://ems.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=239048&mi=40999 | https://webtv.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7961&mi=6534,문서상 책임 배치·보완 분석 / 실제 실행 미검증
017,위임형,세무,세무사 (상속·증여·가업 승계),생전 증여·상속세 신고; 가업승계 사전 설계,가족기업 승계에서 비사업 자산·과거 증여·후계자 경영 참여·납부 현금이 쟁점인데 가족은 지분을 균등 분할하려 함,지분·증여 이력·재무자료·자산평가·가족관계·경영 이력,사실에 맞는 적용 후보와 사후 조건 확인 → 지분·세액·현금·지배권 대안 계산 → 요건 변화에 따른 재검토 일정 설정,"승계 대안표, 평가·세액 계산, 신고자료, 사후관리 일정",최초 절세액만 비교하고 향후 요건 유지·납부 자금·분쟁 비용을 빼면 실패,"M53 다기간 현금·세액, M25 요건 의존, M37 사후관리, M34 가족·사업 목표 통합 필요",https://webtv.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7961&mi=6534 | https://www.onetonline.org/link/summary/13-2052.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
018,위임형,세무,세무사 (조사·불복),세무조사 자료 대응; 과세전·과세후 불복 검토,조사팀이 가공경비를 의심하지만 장부에는 거래가 있고 공급자는 폐업해 거래 실질을 설명할 자료가 부족함,조사통지·요구목록·원장·계약·납품·송금·조사 문답·처분자료,쟁점별 입증 자료를 묶음 → 장부 기록과 실제 용역·거래를 분리 검토 → 조사 대응·권리보호·불복 절차를 조건별 비교,"제출자료대장, 사실·법리 의견서, 불복 초안, 세액영향표",장부가 있다는 이유만으로 실거래를 확정하거나 제출자료의 맥락·기한을 놓치면 실패,"M18 증빙 실질, M35 조사·불복 분기, M38 기관 응대, M47 제출 이력 필요",https://ems.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=239048&mi=40999,문서상 책임 배치·보완 분석 / 실제 실행 미검증
019,위임형,세무,기장 대행,월 매입·매출 전표; 은행·카드 대사,사업주가 법인카드로 개인 지출을 하고 카드 취소가 다음 달 반영돼 현금잔액과 비용이 맞지 않음,카드원장·계좌·영수증·세금계산서·정산·전월 마감,중복·취소·미지급·개인사용 후보 식별 → 증빙·거래 확인 → 수정 분개와 이월 잔액 대사,분개장·원장·미확인 증빙 목록·월 마감표,차액을 임의 계정에 넣어 잔액만 맞추거나 다음 달 취소를 다시 비용 차감하면 실패,"M52 거래 매칭 규칙, M21 분개 기준, M25 마감·수정 이력, M42 잔액 대사 필요",https://www.onetonline.org/link/summary/13-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
020,위임형,회계·관세,회계사 (감사),외부감사 계획·실증절차; 재무제표·의견 검토,재고 실사 차이가 크고 기말 매출이 급증했는데 결산 후 반품이 늘고 외부조회 회신도 부족함,시산표·원장·실사기록·입출고·판매조건·반품·외부조회·경영진 설명,중요 왜곡 가능성과 주장별 증거 평가 → 실사 차이·기간귀속·회수·대체절차 수행 → 미해결 사항이 결론과 보고에 미치는 영향 판단,"감사조서, 수정사항표, 재무제표·주석 검토, 의견 근거와 보고자료",검산이 맞아도 증거 충분성·기간귀속·경영진 조작 가능성을 놓치면 실패,"M35 감사주장별 절차, M18 증거 충분성, M43 독립 검토, M39 감사의견 자격 경계 필요",https://www.onetonline.org/link/summary/13-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
021,위임형,회계·관세,회계사 (자문·실사),재무실사·수익의 질 분석; 거래가격 조정 지원,인수 대상의 EBITDA에 일회성 보조금이 포함되고 매출채권 회수와 재고 가치가 부풀려져 정상 운전자본이 다툼이 됨,월별 원장·매출채권 연령·재고·계약·보조금·차입·SPA 조정식,정상·일회성 항목 구별 → 수익·순차입금·운전자본의 조정 대안 계산 → 법무와 가격조정 정의·증거를 맞춤,"QoE 분석, 순차입금·운전자본 bridge, 실사 발견표, 가격조정 검토",단순 배수 가치평가만 하고 가격에 반영되는 정의·중복조정을 놓치면 실패,"M52 원장 재구성, M53 거래가격 모델, M25 발견-계약 연결, M04 법무 협의 필요",https://www.onetonline.org/link/summary/13-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
022,위임형,회계·관세,관세사,수출입 신고·품목분류; FTA 원산지 대응,복합 전자제품의 세번이 다투어지고 해외산 부품으로 바뀐 뒤에도 공급사가 예전 원산지 확인서를 보냄,사양·견본·BOM·제조공정·원산지확인·상업송장·운송·신고자료,실제 구성·기능과 분류 후보 대조 → 원산지 계산·증빙 유효성 확인 → 사전심사·신고·보정·검증 대응 경로 선택,"분류 근거표, 원산지 계산·증빙묶음, 신고·심사 신청자료",제품명만 보고 세번을 고르거나 공급사 확인서를 실제 부품 판본과 대조하지 않으면 실패,"M07 제품·BOM, M12·M14 분류·협정, M53 원산지 계산, M25 부품변경 전파 필요",https://www.customs.go.kr/cvnci/cm/cntnts/cntntsView.do?cntntsId=948&mi=3217,문서상 책임 배치·보완 분석 / 실제 실행 미검증
023,위임형,노무,노무사 (자문·급여),급여·근로시간 자문; 취업규칙·징계 절차 검토,합병한 두 회사의 고정수당과 교대근무 기록이 달라 초과근로수당 소급 정산과 임금체계 개편을 함께 요구받음,근로계약·취업규칙·협약·근태·급여·인사발령,근로자군별 적용 조건·실제 근로 확인 → 계산과 해석 쟁점 분리 → 정산·제도변경·설명 절차의 대안 비교,"급여 재계산표, 규정 수정안, 동의·설명자료, 조치 일정",수당 이름만 보고 동일 처리하거나 자료 없는 근로시간을 확정하면 실패,"M21·M12 임금·절차 지식, M52·M53 급여 대사, M35 제도변경 조건 필요",https://nlrc.go.kr/nlrc/commIntro/minwon/workGuide03.do | https://www.onetonline.org/link/summary/11-3121.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
024,위임형,노무,노무사 (분쟁 대리),부당해고·부당노동행위 사건; 임금 관련 진정 지원,저성과 해고의 평가 기록이 사후 작성됐다는 주장이 나오고 노조 활동·괴롭힘·임금 쟁점이 함께 제기됨,해고통지·평가·교육기회·면담·이메일·급여·취업규칙,쟁점별 사실과 관할 절차 분리 → 평가·해고 사유·과정의 증거 대조 → 이유서·답변과 심문 대응·화해안 준비,"이유서·답변서, 증거목록, 심문사항, 화해조건표",모든 쟁점을 한 기관에 같은 방식으로 넣거나 소송대리 권한을 자동 가정하면 실패,"M35 노동위원회·노동청 등 절차 구분, M18 증거 시점, M27 법원 단계 업무범위 확인 필요",https://nlrc.go.kr/nlrc/commIntro/minwon/workGuide03.do,문서상 책임 배치·보완 분석 / 실제 실행 미검증
025,위임형,노무,노무사 (산재),사고성 산재 신청; 업무상질병 자료 준비,장기간 여러 공장에서 일한 근로자가 질병을 진단받았지만 작업환경 측정과 과거 업무 기록이 부족하고 회사가 관련성을 부인함,직업력·진료기록·작업내용·노출·측정·동료진술·공단 요구자료,기간별 작업·노출·증상 연표 구성 → 의학 판단과 고용·작업 사실 구별 → 부족한 자료 취득과 심사 대응을 설계,"직업력·노출표, 요양 신청자료, 보완의견·관련 증빙",질병명만으로 업무 인과를 확정하거나 존재하지 않는 노출 측정값을 채우면 실패,"M25 직업력·시간축, M18 사실·의학 의견 구분, M39 현장·의학 전문 기여, M35 산재 절차 필요",https://m.easylaw.go.kr/MOB/CsmInfoRetrieve.laf?ccfNo=2&cciNo=2&cnpClsNo=2&csmSeq=575,문서상 책임 배치·보완 분석 / 실제 실행 미검증
026,위임형,부동산,공인중개사 (주거),주택 매매·임대차 중개; 잔금·인도 조정,임대인이 대리인에게 계약을 맡겼는데 선순위 권리와 임차보증금 설명이 다르고 잔금 전 새 담보가 설정됨,등기·건축물·신원·위임·임대차·권리확인 자료·현장점검,고객 조건에 맞는 물건 비교 → 권리·점유·하자·대리권 확인 → 특약·대금·권리 정리·인도 순서를 조정,"매물 비교표, 확인·설명자료, 계약·특약 검토, 잔금 체크",싼 매물을 찾아도 권리·인도 조건 변화가 잔금 실행에 반영되지 않으면 실패,"M16 시세, M31 대리권, M07 현장 증거, M35 잔금 선후조건·M42 최신 상태 확인 필요",https://www.onetonline.org/link/summary/41-9022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
027,위임형,부동산,공인중개사 (상가·빌딩),상가 임대차·권리금 협의; 수익형 건물 매매,매도자가 만실 수익률을 제시했지만 무상임대 기간·체납·만기집중이 있고 임차인이 시설 투자 보상을 요구함,rent roll·임대차·입금·관리비·시설·권리·공실 비교자료,표시 임대료와 실현 순수익 대사 → 임차인별 만기·조건·시설 책임 확인 → 가격·특약·인도 대안 협상,"임대수익 검토표, 권리·계약 확인, 거래·임대차 특약안",표면 수익률만 계산하고 공실·수선·무상임대·인도 다툼을 빼면 실패,"M52 임대자료 대사, M53 순수익·현금, M38 임차인 협의, M35 인도 조건 필요",https://www.onetonline.org/link/summary/41-9022.00 | https://www.onetonline.org/link/summary/13-2023.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
028,위임형,부동산,공인중개사 (토지·개발),개발용 토지 매물 검토; 토지 매매 조건 조정,저렴한 토지가 있으나 진입도로는 타인 소유이고 경계·용도·농지전용 가능성에 관해 매도인 설명이 엇갈림,지적·토지이용·등기·도로권리·측량·사업구상·관청 확인,원하는 개발 용도와 권리·물리 조건 대조 → 현장·관청 확인이 필요한 항목 분리 → 조건부 계약·다른 부지·포기 비교,"개발 적합성 검토, 권리·접근성 목록, 조건부 거래안",지도상 도로 존재를 적법한 진입권이나 허가 가능성으로 간주하면 실패,"M07 GIS·측량, M12 입지조건, M18 확인근거, M34·M38 조건부 거래 판단 필요",https://www.onetonline.org/link/summary/41-9022.00 | https://factoryon.go.kr/mobile/bbs/faqBbsList.do,문서상 책임 배치·보완 분석 / 실제 실행 미검증
029,위임형,부동산,경매사,부동산 경매 권리분석; 입찰가·잔금·명도 계획,낮은 감정가의 경매 물건에 선순위 임차인 주장과 점유 불일치가 있고 대출은 낙찰 후 재심사 예정임,매각물건명세·현황조사·등기·임대차·감정평가·점유·대출조건,소멸·인수 가능 권리와 불명 사실 구별 → 낙찰대금 외 부담·명도·수선·금융비용 계산 → 입찰상한과 확인 전 보류 조건 설정,"권리분석표, 총취득비용·입찰가 계산, 잔금·인도 계획",낙찰 할인율이 좋아도 인수 권리·현금 부족·실제 점유를 놓치면 실패,"M25 권리·점유 관계, M53 총원가, M07 실사, M27 실제 입찰대리 범위를 별도로 확인해야 함",https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work | https://www.onetonline.org/link/summary/13-2023.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
030,위임형,부동산,감정평가사,담보·보상 감정평가; 분쟁·과세 목적 가치 산정,수용 예정 토지의 비교거래는 적고 용도·오염·특수권리 때문에 거래 당사자들이 서로 다른 가격을 주장함,평가목적·기준일·실거래·권리·물리상태·임대자료·현장확인,목적·권리·최유효이용 전제 확인 → 비교·수익·원가 접근의 적합성 대조 → 보정·가정별 가치 범위와 근거 작성,"감정평가 계산·조서, 평가서 초안, 민감도·현장 미확인 목록",비교거래가 많다는 이유로 다른 권리·용도·기준시점을 혼합하면 실패,"M21 평가방법 지식, M16 거래자료, M53 보정·민감도, M39 현장·서명 기여 분리 필요",https://www.onetonline.org/link/summary/13-2023.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
031,위임형,건축·기술,건축사 (주택·소규모 건축),주택 신축 기본·실시설계; 증축·리모델링,협소 대지에서 주차·채광·계단·예산을 맞췄는데 실측 경계와 기존 구조가 도면과 다름,대지·측량·건축물·지반·요구공간·예산·현황도,배치·평면 대안을 비교 → 법규·동선·구조·설비 조건을 맞춤 → 실측 차이로 영향받은 도면·면적·공사비 재검토,"CAD/BIM 원본, 평면·단면·상세도, 면적·법규표, 허가·공사 협의자료",예쁜 렌더만 있고 실제 치수·계단·구조·수량이 맞지 않으면 실패,"M07·M09 CAD/BIM 구조, M35 공간·법규 명세, M53 계산, M25 변경전파·M39 실측 연계 필요",https://www.onetonline.org/link/summary/17-1011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
032,위임형,건축·기술,건축사 (대형·공공 건축),공공시설 설계·심의; 분야별 실시설계 조정,병원 증축 설계에서 피난동선·덕트·보·장비 반입공간이 충돌하고 발주처가 운영 중 공사를 요구함,발주 요구·공간표·설계기준·BIM·장비 사양·공사 단계,분야별 요구와 공통 좌표를 고정 → 간섭·운영동선·단계공사 대안 비교 → 설계 변경을 물량·예산·심의자료까지 전파,"통합 BIM·도면·시방서, 간섭처리표, 단계공사·심의 자료",간섭을 화면에서 없앴지만 유지보수·장비 반입·공사 중 운영이 불가능하면 실패,"M04 공동설계, M25 객체·요구 연결, M10 BIM 도구, M35 운영·시공 명세, M42 통합검증 필요",https://www.onetonline.org/link/summary/17-1011.00 | https://www.onetonline.org/link/summary/17-2051.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
033,위임형,건축·기술,기술사 (구조),구조 설계·해석; 기존 건물 보강 검토,공장에 무거운 설비를 올리려는데 기존 철근·재료 강도와 도면이 불확실하고 바닥 진동 민원도 있음,구조도·하중·설비 동적조건·실측·재료시험·지반·사용조건,실제 구조와 하중 경로 확인 → 모형·경계조건·파괴양상·진동 검토 → 보강 대안과 시공 중 상태를 계산·독립 검산,"해석모델, 구조계산서, 보강도면, 조사·시험 요구서",솔버가 수렴해도 잘못된 지지조건·하중·기존 재료값을 썼으면 실패,"M53 해석·단위·수렴, M54 모형 타당성, M39 조사·재료시험, M42 독립 구조 검토 필요",https://www.onetonline.org/link/summary/17-2051.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
