재료ID,재료명,계통,이번 참여방식,입력,구체적인 사용,산출·근거 파일,연결 검사,미검증·한계
M29,회사 규칙,규칙·권한,가상 조건·설계에만 반영,회사 사용 제한20억·운영여유16억·감사 통지,회사의 가상 내부 제약을 개인의 전략과 분리해 회사 돈 사용 대안을 평가하도록 했다.,산출물/02_통합_전략_v2.md,"C08,C15",실제 전결 규정·조직 승인 시스템·정당한 결정권자 인증은 없다.
M30,개인 취향,규칙·권한,조회·판단·문서 작성,사용자의 간결한 요약 선호와 구체적인 실험 요구,사용자에게는 핵심 결과를 요약하고 사건별 상세 내용은 별도 파일에 남겼다.,README.md;05_실험결과와_보완판정.md,,보고 방식에 적용했다. 가상 의뢰인의 취향을 추정하거나 사건상 권한·법적 요구보다 우선시키지 않았다.
M31,권한·명의·위임,규칙·권한,코드로 일부 기능 실행,"E01 개인 위임, E10·E16의 회사 접근 제한, 수신자 목록",개인 자문과 회사 처분·접근을 구분하고 문안 메타데이터의 허용 수신자를 검사했다.,재현/run.py;재현/artifact_contract.json;산출물/07_영장발부후_인계메모.md,"C07,C08,C23,C24",실제 인증·전자서명·철회 후 API 호출 차단은 없다. C08은 주어진 접근권 false 상태를 확인하는 수준이다.
M32,안전장치,규칙·권한,코드로 일부 기능 실행,"E13 개인 자료, 개인/회사 수신자, 결함 문안 5종",허용 수신자 검사와 문안 메타데이터 검사로 정보 경계·시점·의미 위반 후보를 거부했다.,재현/run.py;재현/artifact_contract.json,"C07,C24",자연어 문안·첨부 파일 전체의 비밀 유출이나 프롬프트 주입을 탐지하는 보안 실험은 아니다.
M33,책임·손실 한도,규칙·권한,코드로 일부 기능 실행,"회사42·제한20·최소16, 개인3·미확정매각10, 검토 기한15시간",회사 돈12억 사용 시 운영여유 위반과 개인 재원 부족을 계산했다. 자원 총량과 기한 내 가능성을 구분했다.,산출물/02_통합_전략_v2.md;재현/result.json,"C15,C16,C17,C18",실제 지급능력·세금·추가 담보·모든 연쇄 손실·비용 예약 시스템은 검증하지 않았다.
M34,판단 규칙,행동 체계,조회·판단·문서 작성,수정된 증거·현금·상대 거절·참고인 접촉,전면 부인·쟁점별 방어·회사자금 사용·미래매각 약속을 비교하고 B안을 선택했다. 불리한 증거와 절차 변경에 따른 전환을 적었다.,산출물/02_통합_전략_v2.md;산출물/05_면담_신문_확인질문.md,,"B가 실제 최선인지, 승소·신병 위험을 얼마나 줄이는지는 독립적으로 검증하지 않았다."
M35,업무 절차·설계 명세,행동 체계,코드로 일부 기능 실행,"증거→계산→서면, 전문검토→통합검토, phase와 문안 계약",선후관계·재검토·수신자·기준값·절차 조건을 구체화하고 일정·선행조건·문안 계약 일부를 실행 검사했다.,재현/run.py;재현/artifact_contract.json;04_단계별_결정과_수정.md,"C14,C17,C18,C19,C23,C24",모든 법률 작업을 자동 조립하는 범용 실행기가 아니다. 전문 검토시간과 적격성은 가정이다.
M36,완료 조건,행동 체계,조회·판단·문서 작성,문서 작성·코드 검사·실제 사건 성과의 별도 기준,"파일·검사 완료와 영장 기각 실패, 법률 판단 미완료를 구분해 최종 상태를 기록했다.",01_사건과_시험조건.md;05_실험결과와_보완판정.md;산출물/07_영장발부후_인계메모.md,,완료 기준을 적었다는 사실이 독립적인 법률 품질 합격을 뜻하지 않는다.
M37,먼저 감지하기,행동 체계,가상 조건·설계에만 반영,검수 오류·참고인 접촉·기한 부족·미래 시행 표지,주어진 신호에서 추가 확인과 재계획이 필요하다는 판단을 작성했다.,04_단계별_결정과_수정.md;02_법적_근거와_미확인사항.md,,미관측 외부 위험을 자동 탐지하거나 감시 주기·누락·헛울림을 측정하지 않았다.
M38,상대 응대,행동 체계,조회·판단·문서 작성,"E18~E20의 일부 반환·상대 거절, 면담 주제",협상 제안문과 확인 질문을 작성하고 입금 확인과 포괄 합의 거절을 별개로 반영했다.,산출물/05_면담_신문_확인질문.md;산출물/06_협상과_주총_실행조건.md,C11,실제 상대방과 대화·협상하지 않았다. 상대 반응과 수령 확인은 가상 입력이다.
M39,사람에게 넘기기,행동 체계,가상 조건·설계에만 반영,전자자료·실물·신병 절차의 전문 수행 미완료,추가 전문가가 확인할 자료·목적·후속 업무를 인계 문서에 구체화했다.,산출물/07_영장발부후_인계메모.md;05_실험결과와_보완판정.md,,실제 변호사·감정인에게 의뢰하거나 결과를 회수하지 않았다. 인계 문안과 전문 수행 완료를 구분한다.
M40,보고·납품·인수,행동 체계,조회·판단·문서 작성,사용자 전달용 파일·개인 내부 초안·후속 인계,산출물을 폴더와 링크로 정리하고 각 문서의 목적·사용 단계·미완료·후속 책임을 표시했다.,README.md;산출물/07_영장발부후_인계메모.md,,현실 의뢰인·법원·회사에서 인수·제출한 결과가 없다. 수신 프로그램의 사용 가능성 평가도 미실행이다.
M41,업무 처리 흐름,실무,조회·판단·문서 작성,접수·증거변경·전략·작성·불리한 결정·인계,사건을 초기 접수부터 후속 신병 대응까지 하나의 기록으로 연결했다.,01_사건과_시험조건.md;04_단계별_결정과_수정.md;산출물/07_영장발부후_인계메모.md,,법률 업무의 실제 전 과정을 수행한 것은 아니다. 가상 기관 결과와 작성자의 판단 흐름을 연결했다.
M42,결과 검증·수정,검증·평가,코드로 일부 기능 실행,금액·의결 산식·문서 근거값·참조·파일,24개 지정 검사와 문안 메타데이터 결함5종을 실행하고 파일·참조·재현 결과를 확인했다.,재현/run.py;재현/result.json;재현/artifact_contract.json,"C01,C03,C05,C12,C13,C14,C17,C18,C21,C22,C23,C24",서면 본문의 모든 사실·논증·법적 타당성을 검사한 것이 아니다. 일부 검사는 설정된 상태 확인이다.
M43,반증·교차 검증,검증·평가,조회·판단·문서 작성,반대 증거·상대 공격·잘못된 선택 후보,18개 쟁점과 강한 상대 반박을 구성하고 대응의 한계·추가 증거 필요를 작성했다.,03_쟁점별_공격과_방어.md;산출물/05_면담_신문_확인질문.md,C24,반박 작성자와 대응 작성자가 같다. 5종 결함은 의도적으로 만든 대조군이며 독립 전문가의 검출 성적이 아니다.
M44,위험 누락 검사,검증·평가,조회·판단·문서 작성,권한·전자자료·대표권·주총·기일·금액의 미확인 부분,법률 적용·원본·주거·출석·소송 대표·선임 선행조건 등 미완료를 찾아 문서별로 남겼다.,02_법적_근거와_미확인사항.md;05_실험결과와_보완판정.md,,모든 현실 위험을 소진했다고 증명하지 않는다. 위험 누락률·헛막음도 측정하지 않았다.
M45,과정 평가,검증·평가,조회·판단·문서 작성,초기 문안·단계별 결정·최종 문안·검사 출력,바뀐 사실에 따라 왜 전략과 문안을 바꿨는지 기록하고 실패한 외부 목표를 숨기지 않았는지 검토했다.,04_단계별_결정과_수정.md;05_실험결과와_보완판정.md,,평가자는 같은 작성자다. 과정의 전문 타당성에 대한 독립 채점이 없다.
M46,결과물 평가,검증·평가,가상 조건·설계에만 반영,형사·민사 초안과 사용 목적,초안의 용도·근거·미완료를 확인하는 범위를 정했으나 독립 결과물 평가는 실행하지 않았다.,산출물;05_실험결과와_보완판정.md,,메타데이터 검사나 읽을 수 있는 Markdown을 전문 서면 품질 합격으로 세지 않는다.
M47,근거 추적·재현,검증·평가,코드로 일부 기능 실행,case.json·result.json·증거 해시·정의 판본,상태11개·검사24개·문안 계약·판본 변경을 저장하고 재실행 결과의 동일성을 확인했다.,재현/result.json;재현/검토한_정의_판본.json;재현/검토범위_확인.json;재현/artifact_contract.json,"C04,C22",과거 본문 원본 전체는 시작 시 해시만 있고 정본3개는 사본이 있다. 실제 기관 영수증·전문가 수행 이력은 없다.
M48,실패 원인 분석,학습·개선,조회·판단·문서 작성,설정한 나쁜 대안·금액/분모/절차 오류·영장 발부 분기,오류 후보가 생기는 이유를 원천 중복·의미 혼동·분모 변화·선행조건·절차 불일치로 나눠 기록했다.,05_실험결과와_보완판정.md,"C05,C13,C17,C24",실제품 장애의 실증적 근본 원인 분석은 아니다. 영장 발부 이유도 주입값이며 모델 탓이라는 인과 결론을 내리지 않는다.
M49,고정 시험,학습·개선,코드로 일부 기능 실행,공개 개발용 사건 입력과 고정 검사 코드,동일 입력에서 계산·상태·결함 차단을 반복할 수 있는 회귀 자산을 만들고 실행했다.,재현/case.json;재현/run.py;재현/checks.csv,"C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",보호된 새 과제·모델 비교·법률 전문가 기준선은 없다. 이 사건으로 일반화나 대체율을 계산하지 않는다.
M50,자동 학습·능력 확장,학습·개선,이번 실험에서 미실행,새로 드러난 직무별 내용의 후보,보완 후보는 문서화했지만 자동 학습·능력 확장·양산 배포를 실행하지 않았다.,05_실험결과와_보완판정.md,,수식·재료를 자동 개선했다거나 신규 직무 조합을 검증했다고 하지 않는다.
M51,성과 추적,학습·개선,조회·판단·문서 작성,"가상 영장 발부, 미확정 민사·주총, 문서·검사 완료",외부 목표인 영장 기각 실패와 산출물 작성 완료를 분리했다. 남은 법률 판단과 실제 수행을 기록했다.,산출물/07_영장발부후_인계메모.md;05_실험결과와_보완판정.md,,실제 승소율·구속률·비용·기간·사람 기여를 측정한 운영 성과 데이터가 아니다.
M52,데이터 처리,환경 — 실행 기반,코드로 일부 기능 실행,가상 기록24개·쟁점18개·입력과 결과 JSON,증거·쟁점·상태를 구조화하고 CSV·JSON으로 저장해 ID·개수·참조를 대조했다.,재현/case.json;03_쟁점별_공격과_방어.csv;재현/checks.csv,C22,자료의 법률적 의미 추출은 작성자가 했다. 원본 파일의 OCR·복잡한 결합·스트림 누락을 시험하지 않았다.
M53,계산·분석·최적화,환경 — 실행 기반,코드로 일부 기능 실행,"지급60·납품28→22·반환8+3, 의결권, 인력·기한","원금 대사, 원천 집합, 의결 경계·분모 변화, 현금 제약, 검토자 배치의 최소 완료시간을 코드로 계산했다.",재현/run.py;재현/result.json;산출물/06_협상과_주총_실행조건.md,"C01,C05,C12,C13,C14,C15,C16,C17,C18,C21",입력·적격성·작업시간은 가정이다. 정확한 산술이 법률상 손해·이득액·현실 협상 가능성을 입증하지 않는다.
M54,실험·시뮬레이션,환경 — 실행 기반,코드로 일부 기능 실행,가상 사건과 단계별 변화10개·결함5종,불리한 증거·지급 장애·상대 거절·영장 발부를 넣고 상태 및 일부 계약의 결과를 실행했다.,재현/case.json;재현/run.py;재현/result.json;재현/artifact_contract.json,"C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",작성자가 입력과 대응을 함께 설계했다. 블라인드 AI 시험·현장 실험·실제 확률 추정은 아니다.
M55,업무 자산,자료·검색 — 사실 확인,조회·판단·문서 작성,사건 입력·쟁점표·7개 문안·검사 코드,후속 법률 직무 개발에 참조할 수 있는 공개 가상 사건 자산과 검사를 파일로 남겼다.,README.md;재현/case.json;재현/run.py;산출물,,다른 사건에서 재사용·적응·회귀를 실제 수행하지 않았다. 고객 자료·라이선스가 있는 현실 서식 자산의 관리도 미검증이다.
