번호,유형,직무,온라인 위임 단위,제공받을 입력,외부·현장 의존과 제외,권한·자격 확인,직무 고유 실패 기준,내용 구체화의 책임,현재 지원 상태,출처
011,위임형,행정사 (출입국·비자),"사유서, 증빙목록, 신청자료, 사람별 접수·보완 일정",여권·등록정보·체류 이력·고용계약·학력경력·가족관계·예약자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,계약서 직함만 보고 실제 활동이 자격 범위에 맞는지 확인하지 않으면 실패,"M12·M13 자격별 최신 요건, M25 가족·고용 관계, M37 기한, M39 신원·대면 절차 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#011
012,위임형,공증인,공증용 문안·확인목록·촉탁자료 준비와 제공된 발급·인증 기록 대조,촉탁문서·신분·대리권·법인자료·당사자 의사확인 자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,AI가 작성한 문서에 서명란을 넣었다고 공증 효력이 생긴 것으로 처리하면 실패,"M31 신원·대리권, M27·M39 공증 행위, M10·M40 발급·원본 인수 증거 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#012
013,위임형,변리사 (특허),"명세서·청구항·도면, 선행기술 대비표, 의견서·보정서 초안",발명설명·도면·실험자료·공개일·선행문헌·거절이유 통지,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,등록만 위해 핵심 사업범위를 잃거나 뒷받침 없는 한정을 만들면 실패,"M07 도면·기술 구조, M19 선행기술, M25 청구항 근거, M34·M35 보정 전략 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#013
014,위임형,변리사 (상표·디자인),"출원자료, 유사표장·디자인 대비표, 의견서 초안, 브랜드 변경안",표장·지정상품·사용자료·검색결과·제품 도면·공개 이력,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,이미지 유사도만으로 권리 충돌을 확정하거나 지정상품을 빠뜨리면 실패,"M12·M14 권리 판단, M07 도형·표장 구조, M25 출시자산 연결, M35 출원 경로 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#014
015,위임형,변리사 (심판·분쟁),"구성요소 대비표, 기술·선행문헌 분석, 심판서면 초안, 협상 쟁점표",등록명세서·심사경과·선행기술·제품 분석·상대 주장·계약,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,제품 추정만으로 모든 요소를 충족·미충족이라고 쓰거나 절차별 해석을 무심코 바꾸면 실패,"M18·M25 구성요소-증거 관계, M04·M43 소송팀 협의, M38 합의 전제 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#015
016,위임형,세무사 (신고·기장),"장부·세무조정 계산표, 신고서·부속명세, 납부·접수 확인",주문·정산·환불·세금계산서·사업계좌·경비증빙·전기신고,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,정산액을 그대로 매출로 쓰거나 환불을 이중 차감하면 실패,"M52 거래·정산 대사, M53 세액계산, M12 과세 요건, M10·M42 신고 결과 연결 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#016
017,위임형,세무사 (상속·증여·가업 승계),"승계 대안표, 평가·세액 계산, 신고자료, 사후관리 일정",지분·증여 이력·재무자료·자산평가·가족관계·경영 이력,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,최초 절세액만 비교하고 향후 요건 유지·납부 자금·분쟁 비용을 빼면 실패,"M53 다기간 현금·세액, M25 요건 의존, M37 사후관리, M34 가족·사업 목표 통합 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#017
018,위임형,세무사 (조사·불복),"제출자료대장, 사실·법리 의견서, 불복 초안, 세액영향표",조사통지·요구목록·원장·계약·납품·송금·조사 문답·처분자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,장부가 있다는 이유만으로 실거래를 확정하거나 제출자료의 맥락·기한을 놓치면 실패,"M18 증빙 실질, M35 조사·불복 분기, M38 기관 응대, M47 제출 이력 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#018
019,위임형,기장 대행,분개장·원장·미확인 증빙 목록·월 마감표,카드원장·계좌·영수증·세금계산서·정산·전월 마감,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,차액을 임의 계정에 넣어 잔액만 맞추거나 다음 달 취소를 다시 비용 차감하면 실패,"M52 거래 매칭 규칙, M21 분개 기준, M25 마감·수정 이력, M42 잔액 대사 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#019
020,위임형,회계사 (감사),"감사조서, 수정사항표, 재무제표·주석 검토, 의견 근거와 보고자료",시산표·원장·실사기록·입출고·판매조건·반품·외부조회·경영진 설명,재고 실사·현장 관찰; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,검산이 맞아도 증거 충분성·기간귀속·경영진 조작 가능성을 놓치면 실패,"M35 감사주장별 절차, M18 증거 충분성, M43 독립 검토, M39 감사의견 자격 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#020
021,위임형,회계사 (자문·실사),"QoE 분석, 순차입금·운전자본 bridge, 실사 발견표, 가격조정 검토",월별 원장·매출채권 연령·재고·계약·보조금·차입·SPA 조정식,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,단순 배수 가치평가만 하고 가격에 반영되는 정의·중복조정을 놓치면 실패,"M52 원장 재구성, M53 거래가격 모델, M25 발견-계약 연결, M04 법무 협의 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#021
022,위임형,관세사,"분류 근거표, 원산지 계산·증빙묶음, 신고·심사 신청자료",사양·견본·BOM·제조공정·원산지확인·상업송장·운송·신고자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,제품명만 보고 세번을 고르거나 공급사 확인서를 실제 부품 판본과 대조하지 않으면 실패,"M07 제품·BOM, M12·M14 분류·협정, M53 원산지 계산, M25 부품변경 전파 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#022
023,위임형,노무사 (자문·급여),"급여 재계산표, 규정 수정안, 동의·설명자료, 조치 일정",근로계약·취업규칙·협약·근태·급여·인사발령,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,수당 이름만 보고 동일 처리하거나 자료 없는 근로시간을 확정하면 실패,"M21·M12 임금·절차 지식, M52·M53 급여 대사, M35 제도변경 조건 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#023
024,위임형,노무사 (분쟁 대리),"이유서·답변서, 증거목록, 심문사항, 화해조건표",해고통지·평가·교육기회·면담·이메일·급여·취업규칙,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,모든 쟁점을 한 기관에 같은 방식으로 넣거나 소송대리 권한을 자동 가정하면 실패,"M35 노동위원회·노동청 등 절차 구분, M18 증거 시점, M27 법원 단계 업무범위 확인 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#024
025,위임형,노무사 (산재),"직업력·노출표, 요양 신청자료, 보완의견·관련 증빙",직업력·진료기록·작업내용·노출·측정·동료진술·공단 요구자료,새 의료 검사·현장 노출 측정; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,질병명만으로 업무 인과를 확정하거나 존재하지 않는 노출 측정값을 채우면 실패,"M25 직업력·시간축, M18 사실·의학 의견 구분, M39 현장·의학 전문 기여, M35 산재 절차 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#025
026,위임형,공인중개사 (주거),"매물 비교표, 확인·설명자료, 계약·특약 검토, 잔금 체크",등기·건축물·신원·위임·임대차·권리확인 자료·현장점검,현장 안내·주택 실측·인도; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,싼 매물을 찾아도 권리·인도 조건 변화가 잔금 실행에 반영되지 않으면 실패,"M16 시세, M31 대리권, M07 현장 증거, M35 잔금 선후조건·M42 최신 상태 확인 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#026
027,위임형,공인중개사 (상가·빌딩),"임대수익 검토표, 권리·계약 확인, 거래·임대차 특약안",rent roll·임대차·입금·관리비·시설·권리·공실 비교자료,현장 안내·상가 실측·인도; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,표면 수익률만 계산하고 공실·수선·무상임대·인도 다툼을 빼면 실패,"M52 임대자료 대사, M53 순수익·현금, M38 임차인 협의, M35 인도 조건 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#027
028,위임형,공인중개사 (토지·개발),"개발 적합성 검토, 권리·접근성 목록, 조건부 거래안",지적·토지이용·등기·도로권리·측량·사업구상·관청 확인,토지 실측·현장 접근 확인; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,지도상 도로 존재를 적법한 진입권이나 허가 가능성으로 간주하면 실패,"M07 GIS·측량, M12 입지조건, M18 확인근거, M34·M38 조건부 거래 판단 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#028
029,위임형,경매사,"권리분석표, 총취득비용·입찰가 계산, 잔금·인도 계획",매각물건명세·현황조사·등기·임대차·감정평가·점유·대출조건,현장 점유 확인·실물 인도; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,낙찰 할인율이 좋아도 인수 권리·현금 부족·실제 점유를 놓치면 실패,"M25 권리·점유 관계, M53 총원가, M07 실사, M27 실제 입찰대리 범위를 별도로 확인해야 함",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#029
030,위임형,감정평가사,"감정평가 계산·조서, 평가서 초안, 민감도·현장 미확인 목록",평가목적·기준일·실거래·권리·물리상태·임대자료·현장확인,새 현장 조사·실측; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,비교거래가 많다는 이유로 다른 권리·용도·기준시점을 혼합하면 실패,"M21 평가방법 지식, M16 거래자료, M53 보정·민감도, M39 현장·서명 기여 분리 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#030
031,위임형,건축사 (주택·소규모 건축),"CAD/BIM 원본, 평면·단면·상세도, 면적·법규표, 허가·공사 협의자료",대지·측량·건축물·지반·요구공간·예산·현황도,현장 실측·시공·감리 현장 수행; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,예쁜 렌더만 있고 실제 치수·계단·구조·수량이 맞지 않으면 실패,"M07·M09 CAD/BIM 구조, M35 공간·법규 명세, M53 계산, M25 변경전파·M39 실측 연계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#031
032,위임형,건축사 (대형·공공 건축),"통합 BIM·도면·시방서, 간섭처리표, 단계공사·심의 자료",발주 요구·공간표·설계기준·BIM·장비 사양·공사 단계,현장 실측·시공·감리 현장 수행; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,간섭을 화면에서 없앴지만 유지보수·장비 반입·공사 중 운영이 불가능하면 실패,"M04 공동설계, M25 객체·요구 연결, M10 BIM 도구, M35 운영·시공 명세, M42 통합검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#032
033,위임형,기술사 (구조),"해석모델, 구조계산서, 보강도면, 조사·시험 요구서",구조도·하중·설비 동적조건·실측·재료시험·지반·사용조건,구조 실측·재료 시험·보강 시공; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,솔버가 수렴해도 잘못된 지지조건·하중·기존 재료값을 썼으면 실패,"M53 해석·단위·수렴, M54 모형 타당성, M39 조사·재료시험, M42 독립 구조 검토 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#033
034,위임형,기술사 (기계·전기 설비),"설비도·부하계산, 운전 sequence, 시험·개선 계획",부하·단선도·배관·공조도·계측·기기곡선·제어로직,설비 설치·배선·현장 계측·시운전; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,평균 온도·요금만 좋아지고 국부 과열·전환 실패가 남으면 실패,"M53 부하·유체·전력 계산, M54 고장 모의, M25 설비 의존, M10·M39 현장 시운전 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#034
035,위임형,보험설계사 (생명·장기),"보장 비교표, 보험료·유지 시나리오, 제안·설명 기록",기존 약관·가입금액·납입·건강고지·가계예산·가족 필요,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,월 보험료만 줄이고 보장 공백·조건부 인수·해지 손실을 감추면 실패,"M21 약관 지식, M53 장기현금, M38 설명·이해 확인, M27 적합성·고지 책임 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#035
036,위임형,보험설계사 (손해·자동차),"위험·보장 비교표, 갱신 제안, 사고 접수자료",운행·사업 실태·기존 증권·특약·사고·갱신 견적,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,가장 싼 견적을 고르면서 실제 용도·면책·특약 조건을 확인하지 않으면 실패,"M17 위험 실태, M12·M21 약관 적용, M38 설명, M35 청약·접수 경로 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#036
037,위임형,보험계리사,"계리모형, 가정 보고서, 가격·준비금 산출, 검증 메모",계약·보험금·해지·사업비·경제 가정·재보험·상품조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,평균 손해율만 맞추고 선택효과·해지·보증·공통 충격의 상호작용을 빼면 실패,"M52 경험데이터, M53 계리엔진, M54 장기 시나리오, M43 독립 산출 검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#037
038,위임형,손해사정사 (재물·배상),"손해액 계산, 증빙대장, 손해사정서 초안, 보험자 질의답변",보험약관·현장기록·재고·매입매출·생산·복구견적·주문취소,사고 현장 실측·실물 감정; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,피해자 주장액을 합산하거나 매출 감소 전체를 사고 손해로 처리하면 실패,"M18 사고 인과·증거, M53 손해모형, M39 현장확인, M35 약관별 산정 기준 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#038
039,위임형,손해사정사 (신체·질병),"장해·약관 대비표, 청구증빙, 산정·의견 자료",보험증권·약관·사고경위·진료·검사·진단·이전 병력,새 진료·장해 검사; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,진단명만으로 지급액을 확정하거나 서로 다른 평가 시점을 혼합하면 실패,"M07 의료 원본, M21 약관·평가 지식, M18 인과·시점, M39 의료전문가 판단 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#039
040,위임형,투자자문사,"투자정책, 자산배분·리밸런싱 제안, 위험·성과 보고",자산·부채·현금계획·투자목적·거래제약·포지션·시장자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,기대수익은 높지만 필수 현금 시점이나 매도 제한을 놓치면 실패,"M33 손실·유동성, M53 포트폴리오, M34 목표 우선순위, M31 자문·실행 권한 구분 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#040
041,위임형,재무설계사,"생애현금흐름표, 저축·부채·보장 계획, 목표별 조정안",소득·지출·부채·연금·보장·가족 목표·세후 자산,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,단일 수익률 가정으로 은퇴 가능을 단정하거나 배우자 목표·비밀을 합치면 실패,"M53 다기간 모델, M38 목표 협의, M25 가족·약정 상태, M37 추적 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#041
042,위임형,대출상담사 (주택·개인),"대출 비교표, 신청·보완 자료, 실행 일정·미확정 조건",소득·재직·신용·채무·매매계약·담보·금융기관 조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,사전 한도 조회를 확정 승인으로 보고 잔금 지급을 약속하면 실패,"M13 심사조건, M53 상환·금리 비용, M10 신청 상태, M36 승인과 실행 구별 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#042
043,위임형,대출상담사 (사업자·기업),"조달 구조표, 신청사업계획, 현금·상환표, 조건 이행목록",재무·자금표·수주·담보·보증·대출약정·지원요건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,한도를 단순 합산하거나 대출 용도·선행 약정 때문에 실행 불가한 안을 제안하면 실패,"M25 담보·약정 관계, M33·M53 현금·노출, M35 금융기관 절차 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#043
